age_flooring,age_ceiling,height_flooring,height_ceiling,criterias_education,criterias_marriage,prediction
20,30,168,178,0,3,13
55,62,172,184,0,0,3
47,53,168,180,1,0,21
25,30,170,180,0,3,13
36,50,172,190,2,1,10
35,41,171,185,1,3,8
33,38,172,180,2,3,27
30,50,172,185,2,1,10
29,38,172,190,1,3,8
39,49,170,180,2,3,27
25,30,175,180,0,3,13
33,43,168,180,2,3,27
57,62,170,175,1,0,21
33,51,173,190,2,1,10
34,47,172,190,1,0,18
24,27,172,178,0,3,13
32,40,170,183,0,1,25
42,52,165,180,0,1,0
35,45,170,185,2,0,10
52,68,165,178,0,0,3
40,50,173,190,1,1,18
46,60,160,180,1,0,21
56,60,170,185,2,0,15
40,50,173,190,2,3,27
18,83,130,260,0,0,11
31,40,172,178,2,3,27
42,55,164,176,1,0,18
47,57,172,185,1,0,21
45,51,168,183,1,0,18
41,51,170,174,0,0,0
18,83,130,260,0,0,11
35,45,168,178,0,1,25
18,83,130,260,0,0,11
38,45,173,185,2,0,10
44,58,168,191,0,0,0
30,48,170,190,0,0,22
28,50,178,193,1,0,18
44,55,170,190,2,0,1
18,83,130,260,0,0,11
18,83,130,260,0,0,11
26,35,178,190,2,3,5
50,65,172,178,2,0,15
48,58,175,190,2,0,1
25,37,170,180,0,3,13
50,83,165,188,2,2,15
35,43,130,260,0,0,2
28,45,170,185,2,1,10
37,42,174,180,2,3,27
30,37,172,260,2,3,24
40,55,170,185,0,0,0
35,42,178,226,5,3,4
38,55,168,190,0,0,0
31,45,170,188,2,3,27
42,52,168,185,2,0,1
25,32,172,180,2,3,5
32,40,171,180,1,3,8
30,83,130,260,1,0,11
42,58,170,190,1,0,21
35,43,174,188,2,0,10
28,36,175,185,2,3,5
26,35,173,185,2,3,5
36,49,172,190,1,1,18
35,45,168,175,0,3,23
41,48,170,195,2,0,1
31,38,170,185,2,3,27
23,27,168,174,0,3,13
33,45,170,180,2,3,27
45,55,160,180,0,0,0
35,40,172,180,2,3,27
35,45,170,185,2,0,10
50,65,165,190,0,0,3
23,27,175,185,0,3,13
23,27,165,180,0,3,13
24,26,170,175,0,3,13
40,60,168,200,2,0,1
30,40,170,180,2,3,27
25,45,168,190,1,3,8
42,49,170,179,1,3,8
60,67,173,190,1,0,14
34,40,170,175,4,3,4
28,33,173,180,1,3,20
18,83,130,260,0,0,11
35,40,175,180,0,0,22
25,45,170,190,0,1,25
33,42,180,188,0,0,22
38,50,170,180,0,0,0
18,83,170,178,0,0,9
56,63,170,180,0,0,3
23,42,155,190,0,0,6
35,45,165,180,1,0,18
45,59,165,175,0,0,0
36,48,175,185,2,0,10
33,46,167,182,2,0,10
24,35,181,189,2,1,10
28,45,168,175,1,0,18
53,61,170,182,0,0,3
24,42,130,260,0,0,2
46,55,175,186,2,1,1
33,42,170,180,0,0,22
36,44,175,185,0,3,23
48,65,168,185,0,0,3
58,66,173,188,2,0,15
27,40,175,190,1,0,18
28,40,170,185,0,3,23
56,62,172,182,1,0,21
38,45,170,190,1,1,18
55,70,168,190,0,0,3
27,34,175,185,0,3,13
37,60,168,188,1,0,18
33,50,170,190,2,0,10
18,83,130,260,0,0,11
55,60,165,180,1,0,21
38,45,170,190,0,0,22
24,42,130,260,0,0,2
69,75,168,260,1,0,17
38,50,170,180,2,0,1
35,42,170,180,1,3,8
18,83,130,260,0,0,11
18,83,130,260,0,0,11
24,48,130,260,0,0,2
18,83,130,260,0,0,11
28,40,170,185,1,3,8
40,60,170,180,1,0,18
44,55,168,180,1,0,21
45,60,170,180,1,1,21
60,75,172,180,0,0,3
60,70,165,180,0,0,3
36,49,165,180,0,1,25
23,83,170,260,2,3,19
18,83,130,260,0,0,11
38,55,170,180,1,0,18
60,65,174,185,0,0,3
26,39,170,183,0,0,22
43,48,170,180,2,3,27
28,40,168,260,1,3,24
18,83,130,260,0,0,11
37,50,170,180,1,1,18
28,38,174,188,2,0,10
18,83,130,260,0,0,11
58,63,170,180,0,0,3
37,47,170,185,2,1,10
25,32,170,190,2,3,5
37,46,170,180,0,0,22
38,55,185,260,0,0,12
40,48,170,180,1,0,18
31,37,173,178,1,0,18
55,64,170,185,1,0,21
38,42,175,180,1,1,25
42,83,170,260,1,0,17
18,83,130,260,0,0,11
26,40,180,195,0,0,22
58,70,130,260,0,0,28
53,60,170,180,1,1,21
18,83,130,260,0,0,11
30,40,130,260,0,3,2
40,50,175,185,2,1,1
40,50,170,190,1,0,18
30,40,170,175,0,1,25
59,67,170,190,1,0,14
35,45,175,190,2,3,27
32,45,168,175,0,1,25
56,67,170,190,2,0,15
22,40,160,190,0,3,13
30,45,170,185,4,0,16
24,28,175,260,2,3,24
39,52,170,181,1,0,18
33,42,168,180,1,3,8
48,54,163,180,1,0,21
18,83,130,260,0,0,11
35,50,170,190,1,0,18
20,50,160,190,0,0,6
25,30,175,180,0,3,13
20,50,160,190,0,0,6
40,56,171,190,2,3,27
60,68,130,260,0,0,28
38,50,168,185,1,0,18
30,42,168,178,1,0,18
25,32,175,185,1,3,20
20,50,160,190,0,0,6
39,50,172,190,2,1,10
39,50,170,180,2,0,1
19,22,180,190,0,3,13
38,47,170,180,2,1,10
30,83,177,260,2,3,19
25,46,170,190,0,3,23
27,33,172,179,0,3,13
20,50,160,190,0,0,6
28,38,160,190,0,0,7
40,50,170,190,1,0,18
20,50,160,190,0,0,6
25,32,170,190,1,3,20
20,50,160,190,0,0,6
36,40,170,175,2,3,27
24,30,175,184,2,3,5
43,55,172,180,2,0,1
52,62,170,185,0,0,3
52,63,172,178,1,1,21
25,30,170,190,0,3,13
36,49,170,185,2,3,27
38,45,175,200,1,0,18
70,78,160,190,0,0,14
42,57,170,186,2,0,1
36,44,175,260,0,0,12
48,57,160,260,1,0,12
20,56,130,260,0,0,2
24,53,130,260,0,0,2
52,62,170,180,0,0,3
33,37,170,190,2,0,10
23,29,176,181,0,3,13
25,28,175,180,1,3,20
23,27,172,180,0,0,7
28,38,160,190,3,3,27
69,75,170,190,0,0,14
43,54,170,190,2,0,1
63,70,174,200,0,0,3
33,44,170,178,1,0,18
40,49,170,190,4,1,16
32,40,175,185,2,1,10
33,42,170,185,0,0,22
58,68,175,190,0,0,3
46,58,170,190,2,0,1
30,48,170,188,0,0,22
25,32,178,190,0,0,22
24,30,170,190,2,3,5
23,42,155,190,0,0,6
44,53,173,185,2,0,1
58,69,172,182,0,0,3
34,39,173,180,1,3,8
69,76,168,178,2,2,15
30,45,170,190,2,1,10
31,46,170,185,2,1,10
50,66,170,186,1,0,21
20,50,160,190,0,0,6
30,45,175,190,0,0,22
24,41,130,260,0,0,2
35,48,168,180,2,0,10
40,45,168,260,1,1,12
20,50,160,190,0,0,6
20,50,160,190,0,0,6
